Time, Low-pass and crossfade (2st partial)
1.326871, 104.578697
1.328385, 103.327560
1.329900, 101.695641
1.331415, 100.226913
1.332929, 99.057373
1.334444, 101.532448
1.335959, 102.810783
1.337474, 105.095467
1.338988, 108.359306
1.340503, 109.692032
1.342018, 108.848877
1.343532, 108.386497
1.345047, 107.842529
1.346562, 107.516144
1.348076, 106.917778
1.349591, 108.658485
1.351106, 111.378349
1.352620, 113.554237
1.354135, 114.397400
1.355650, 115.186157
1.357165, 115.376549
1.358679, 116.029312
1.360194, 113.853424
1.361709, 114.043816
1.363223, 115.866119
1.364738, 116.709282
1.366253, 116.818077
1.367767, 116.301300
1.369282, 114.995766
1.370797, 114.995766
1.372311, 116.002113
1.373826, 116.546089
1.375341, 115.158958
1.376855, 112.221504
1.378370, 109.746429
1.379885, 106.754585
1.381400, 102.049225
1.382914, 100.689293
1.384429, 100.118118
1.385944, 98.921379
1.387458, 97.561447
1.388973, 97.262268
1.390488, 97.643044
1.392002, 97.615845
1.393517, 99.410957
1.395032, 101.967628
1.396546, 103.844330
1.398061, 106.781784
1.399576, 109.284058
1.401091, 110.100014
1.402605, 109.066467
1.404120, 108.984871
1.405635, 109.828026
1.407149, 111.079163
1.408664, 113.255051
1.410179, 114.805374
1.411693, 114.914169
1.413208, 113.907822
1.414723, 112.792679
1.416238, 113.826225
1.417752, 116.627686
1.419267, 118.531586
1.420782, 119.864319
1.422296, 120.707474
1.423811, 116.763680
1.425326, 114.723778
1.426840, 115.022964
1.428355, 115.512543
1.429870, 114.152611
1.431384, 112.058311
1.432899, 111.759132
1.434414, 112.085510
1.435929, 111.867928
1.437443, 113.527039
1.438958, 113.010269
1.440473, 113.962219
1.441987, 113.635834
1.443502, 114.288605
1.445017, 115.430946
1.446531, 115.947716
1.448046, 115.322151
1.449561, 116.219704
1.451075, 116.627686
1.452590, 117.416443
1.454105, 115.539742
1.455620, 116.763680
1.457134, 117.960419
1.458649, 116.872467
1.460164, 113.880623
1.461678, 115.893318
1.463193, 117.770027
1.464708, 120.109108
1.466222, 120.625877
1.467737, 122.502586
1.469252, 122.747375
1.470766, 124.569679
1.472281, 125.467232
1.473796, 126.283195
1.475311, 125.576027
1.476825, 125.548828
1.478340, 124.950462
1.479855, 126.283195
1.481369, 125.412834
1.482884, 125.739220
1.484399, 125.440033
1.485913, 123.209747
1.487428, 119.075562
1.488943, 118.613182
1.490458, 118.259598
1.491972, 117.661232
1.493487, 117.334846
1.495002, 118.042015
1.496516, 119.238754
1.498031, 121.441841
1.499546, 123.427338
1.501060, 125.603226
1.502575, 125.358437
1.504090, 126.174400
1.505604, 125.548828
1.507119, 125.168053
1.508634, 123.916916
1.510149, 122.176201
1.511663, 120.816269
1.513178, 119.701126
1.514693, 117.878822
1.516207, 116.682083
1.517722, 116.328499
1.519237, 115.675728
1.520751, 117.770027
1.522266, 120.816269
1.523781, 121.659431
1.525295, 121.931412
1.526810, 121.659431
1.528325, 119.728325
1.529840, 116.274101
1.531354, 114.886971
1.532869, 113.391045
1.534384, 110.861572
1.535898, 109.338455
1.537413, 109.610435
1.538928, 108.794479
1.540442, 106.373802
1.541957, 105.068268
1.543472, 106.129013
1.544986, 105.938629
1.546501, 107.244156
1.548016, 109.066467
1.549531, 112.466293
1.551045, 113.717430
1.552560, 114.941368
1.554075, 116.165306
1.555589, 117.035660
1.557104, 115.621338
1.558619, 114.968567
1.560133, 113.935020
1.561648, 114.397400
1.563163, 115.730125
1.564677, 118.313995
1.566192, 117.171654
1.567707, 117.797226
1.569221, 119.755524
1.570736, 122.230598
1.572251, 124.324890
1.573766, 125.521629
1.575280, 124.732872
1.576795, 125.576027
1.578310, 124.787270
1.579824, 124.352089
1.581339, 122.937759
1.582854, 123.672127
1.584368, 123.944115
1.585883, 124.324890
1.587398, 124.923264
1.588912, 126.908760
1.590427, 123.998512
1.591942, 123.046555
1.593457, 121.088257
1.594971, 118.776375
1.596486, 115.566940
1.598001, 114.587784
1.599515, 113.799026
1.601030, 116.491692
1.602545, 117.389244
1.604059, 118.721977
1.605574, 118.150803
1.607089, 118.422791
1.608603, 117.470840
1.610118, 117.552437
1.611633, 118.939568
1.613148, 119.537933
1.614662, 116.219704
1.616177, 117.198853
1.617692, 114.533386
1.619206, 111.378349
1.620721, 111.623138
1.622236, 113.336647
1.623750, 112.983070
1.625265, 116.328499
1.626780, 119.837120
1.628294, 121.305847
1.629809, 120.435493
1.631324, 119.728325
1.632839, 119.021164
1.634353, 122.366592
1.635868, 124.977661
1.637383, 129.628616
1.638897, 132.294083
1.640412, 131.097351
1.641927, 128.540680
1.643441, 128.023911
1.644956, 124.760071
1.646471, 123.481735
1.647985, 123.699326
1.649500, 124.760071
1.651015, 123.780922
1.652530, 124.161697
1.654044, 127.126350
1.655559, 128.894257
1.657074, 128.023911
1.658588, 129.329437
1.660103, 129.302246
1.661618, 130.607773
1.663132, 130.226990
1.664647, 130.254196
1.666162, 128.567871
1.667676, 130.335785
1.669191, 131.858917
1.670706, 135.449127
1.672221, 134.605972
1.673735, 134.578766
1.675250, 135.612320
1.676765, 138.168991
1.678279, 140.018494
1.679794, 141.732010
1.681309, 142.683960
1.682823, 144.043900
1.684338, 148.259674
1.685853, 155.086533
1.687368, 160.254272
1.688882, 163.572495
1.690397, 159.628708
1.691912, 156.500854
1.693426, 151.169937
1.694941, 148.994034
1.696456, 147.960495
1.697970, 149.592407
1.699485, 150.163574
1.701000, 153.019440
1.702514, 155.657700
1.704029, 157.779190
1.705544, 156.636856
1.707059, 155.684906
1.708573, 154.705750
1.710088, 158.268768
1.711603, 162.402954
1.713117, 166.237961
1.714632, 166.618744
1.716147, 165.394806
1.717661, 162.593353
1.719176, 162.076584
1.720691, 163.409317
1.722205, 167.489105
1.723720, 170.807327
1.725235, 173.092026
1.726750, 171.269714
1.728264, 168.713043
1.729779, 165.694000
1.731294, 165.150024
1.732808, 164.823639
1.734323, 168.713043
1.735838, 172.303253
1.737352, 177.035812
